id,lb,ub,rev,names
12DGR120tipp,0.0,999999.0,0,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)"
12DGR140tipp,0.0,999999.0,0,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)"
12DGR141tipp,0.0,999999.0,0,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)"
12DGR160tipp,0.0,999999.0,0,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0)"
12DGR161tipp,0.0,999999.0,0,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)"
12DGR180tipp,0.0,999999.0,0,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)"
12DGR181tipp,0.0,999999.0,0,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)"
12PPDRtex,-999999.0,999999.0,1,"(R)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"
12PPDRtpp,-999999.0,999999.0,1,"(R)-Propane-1,2-diol facilitated transport (periplasm)"
12PPDStex,-999999.0,999999.0,1,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)"
12PPDStpp,-999999.0,999999.0,1,"(S)-Propane-1,2-diol facilitated transport (periplasm)"
14GLUCANabcpp,0.0,999999.0,0,"1,4-alpha-D-glucan transport via ABC system (periplasm)"
14GLUCANtexi,0.0,999999.0,0,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible"
23CAMPtex,-999999.0,999999.0,1,23cAMP transport via diffusion (extracellular to periplasm)
23CCMPtex,-999999.0,999999.0,1,23cCMP transport via diffusion (extracellular to periplasm)
23CGMPtex,-999999.0,999999.0,1,23cGMP transport via diffusion (extracellular to periplasm)
23CUMPtex,-999999.0,999999.0,1,23cUMP transport via diffusion (extracellular to periplasm)
23DAPPAt2pp,0.0,999999.0,0,"2,3-diaminopropionate transport in via proton symport"
23DAPPAtex,-999999.0,999999.0,1,"2,3-diaminopropionate transport via diffusion"
23PDE2pp,0.0,999999.0,0,"2',3'-cyclic-nucleotide phosphodiesterase (UMP) (periplasm)"
23PDE4pp,0.0,999999.0,0,"2',3'-cyclic-nucleotide phosphodiesterase (CMP) (periplasm)"
23PDE7pp,0.0,999999.0,0,"2',3'-cyclic-nucleotide phosphodiesterase (AMP) (periplasm)"
23PDE9pp,0.0,999999.0,0,"2',3'-cyclic-nucleotide phosphodiesterase (GMP) (periplasm)"
26DAHtex,-999999.0,999999.0,1,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)"
2AGPA120tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm)
2AGPA140tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphatidate (n-C14:0) transporter via facilitated diffusion (periplasm)
2AGPA141tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm)
2AGPA160tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm)
2AGPA161tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm)
2AGPA180tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphatidate (n-C18:0) transporter via facilitated diffusion (periplasm)
2AGPA181tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm)
2AGPE120tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm)
2AGPE140tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm)
2AGPE141tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm)
2AGPE160tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm)
2AGPE161tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm)
2AGPE180tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm)
2AGPE181tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm)
2AGPEAT120,0.0,999999.0,0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0)
2AGPEAT140,0.0,999999.0,0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0)
2AGPEAT141,0.0,999999.0,0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1)
2AGPEAT160,0.0,999999.0,0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0)
2AGPEAT161,0.0,999999.0,0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1)
2AGPEAT180,0.0,999999.0,0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0)
2AGPEAT181,0.0,999999.0,0,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:1)
2AGPG120tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0) transporter via facilitated diffusion (periplasm)
2AGPG140tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0) transporter via facilitated diffusion (periplasm)
2AGPG141tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1) transporter via facilitated diffusion (periplasm)
2AGPG160tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0) transporter via facilitated diffusion (periplasm)
2AGPG161tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1) transporter via facilitated diffusion (periplasm)
2AGPG180tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0) transporter via facilitated diffusion (periplasm)
2AGPG181tipp,0.0,999999.0,0,2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1) transporter via facilitated diffusion (periplasm)
2AGPGAT120,0.0,999999.0,0,2-acyl-glycerophospho-glycerol acyltransferase (n-C12:0)
2AGPGAT140,0.0,999999.0,0,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:0)
2AGPGAT141,0.0,999999.0,0,2-acyl-glycerophospho-glycerol acyltransferase (n-C14:1)
2AGPGAT160,0.0,999999.0,0,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:0)
2AGPGAT161,0.0,999999.0,0,2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1)
2AGPGAT180,0.0,999999.0,0,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0)
2AGPGAT181,0.0,999999.0,0,2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1)
2DGLCNRx,0.0,999999.0,0,2-dehydro-D-gluconate reductase (NADH)
2DGLCNRy,0.0,999999.0,0,2-dehydro-D-gluconate reductase (NADPH)
2DGULRx,0.0,999999.0,0,2-dehydro-L-gulonate reductase (NADH)
2DGULRy,0.0,999999.0,0,2-dehydro-L-gulonate reductase (NADPH)
2MAHMP,0.0,999999.0,0,2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase
34dhpactex,-999999.0,999999.0,1,Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)
3AMPtex,-999999.0,999999.0,1,3AMP transport via diffusion (extracellular to periplasm)
3CMPtex,-999999.0,999999.0,1,3CMP transport via diffusion (extracellular to periplasm)
3GMPtex,-999999.0,999999.0,1,3GMP transport via diffusion (extracellular to periplasm)
3HAD100,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)
3HAD120,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)
3HAD121,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)
3HAD140,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)
3HAD141,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)
3HAD160,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)
3HAD161,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)
3HAD180,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)
3HAD181,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)
3HAD40,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)
3HAD60,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)
3HAD80,0.0,999999.0,0,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)
3HCINNMH,0.0,999999.0,0,3-hydroxycinnamate hydroxylase
3HPPPNH,0.0,999999.0,0,3-(3-hydroxy-phenyl)propionate hydroxylase
3KGK,0.0,999999.0,0,3-keto-L-gulonate kinase
3NTD2pp,0.0,999999.0,0,3'-nucleotidase (UMP) (periplasm)
3NTD4pp,0.0,999999.0,0,3'-nucleotidase (CMP) (periplasm)
3NTD7pp,0.0,999999.0,0,3'-nucleotidase (AMP) (periplasm)
3NTD9pp,0.0,999999.0,0,3'-nucleotidase (GMP) (periplasm)
3OAR100,-999999.0,999999.0,1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)
3OAR120,-999999.0,999999.0,1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)
3OAR121,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)
3OAR140,-999999.0,999999.0,1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)
3OAR141,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)
3OAR160,-999999.0,999999.0,1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)
3OAR161,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)
3OAR180,-999999.0,999999.0,1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)
3OAR181,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)
3OAR40,-999999.0,999999.0,1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)
3OAR60,-999999.0,999999.0,1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)
3OAR80,-999999.0,999999.0,1,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)
3OAS100,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)
3OAS120,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)
3OAS121,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)
3OAS140,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)
3OAS141,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)
3OAS160,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)
3OAS161,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)
3OAS180,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)
3OAS181,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)
3OAS60,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)
3OAS80,0.0,999999.0,0,3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)
3PEPTabcpp,0.0,999999.0,0,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm)
3PEPTtex,-999999.0,999999.0,1,LalaDgluMdap (tripeptide) transport via diffusion (extracellular to periplasm)
3UMPtex,-999999.0,999999.0,1,3UMP transport via diffusion (extracellular to periplasm)
42A12BOOXpp,0.0,999999.0,0,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)"
4HOXPACDtex,-999999.0,999999.0,1,4-hydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm)
4HTHRS,0.0,999999.0,0,4-Hydroxy-L-threonine synthase
4PCP,0.0,999999.0,0,"Tetrapeptide L,D-carboxypeptidase"
